programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
"Geografie, Planologie en Milieu","Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56947,1001O6131,46378952-8ba8-48a3-8d95-ba2dc150741c,VOLTIJD,NLD,Nijmegen,,"Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment",1
Politicologie,Politicologie,Political Science,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56606,1001O5942,589bbb17-c3ea-4153-9dde-1120c44421bb,VOLTIJD,NLD,Nijmegen,,Politicologie | Political Science,1
Pre-master Bestuurskunde,Bestuurskunde,Public Administration,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56627,1001O5969,276f194c-b89b-47e3-8d65-574452f51735,VOLTIJD,NLD,Nijmegen,,Pre-master Bestuurskunde | Bestuurskunde | Public Administration | Pre-Master's Public Administration,1
Pre-master Business Administration,Bedrijfskunde,Business Administration,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,50645,1001O5715,e16da346-9524-4925-a79f-56369a9da754,VOLTIJD,ENG,Nijmegen,,Pre-master Business Administration | Bedrijfskunde | Business Administration | Pre-Master's Business Administration,1
Pre-master Economics,Economie en Bedrijfseconomie,Economics and Business Economics,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,50950,1001O5766,e6914d7e-f437-45e8-ad06-8c80ad107e07,VOLTIJD,ENG,Nijmegen,,Pre-master Economics | Economie en Bedrijfseconomie | Economics and Business Economics | Pre-Master's Economics,1
Pre-master Environment and Society Studies,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56947,1001O6131,e0dea269-b15c-483d-a9a8-4c9a389737a3,VOLTIJD,ENG,Nijmegen,,"Pre-master Environment and Society Studies | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Pre-Master's Environment and Society Studies",1
Pre-master Human Geography,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56947,1001O6131,c65f5a51-8ea5-4336-8bed-adfd1a23b6f5,VOLTIJD,ENG,Nijmegen,,"Pre-master Human Geography | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Pre-Master's Human Geography",1
Pre-master Political Science,Politicologie,Political Science,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56606,1001O5942,0f2137e6-f334-4fa4-b986-38489fe96db7,VOLTIJD,ENG,Nijmegen,,Pre-master Political Science | Politicologie | Political Science | Pre-Master's Political Science,1
Pre-master Spatial Planning,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56947,1001O6131,366f55f6-5851-435e-86c5-8f632c673625,VOLTIJD,ENG,Nijmegen,,"Pre-master Spatial Planning | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Pre-Master's Spatial Planning",1
Pre-master Tweejarige Educatieve Master Aardrijkskunde,"Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56947,1001O6131,b2547d39-88b4-4b4b-8a5f-e1ab718861e6,VOLTIJD,NLD,Nijmegen,,"Pre-master Tweejarige Educatieve Master Aardrijkskunde | Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Two-year Educational Pre-Master's Geography",1
Pre-master Tweejarige Educatieve Master Maatschappijwetenschappen,Politicologie,Political Science,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,56606,1001O5942,7cd09e61-90bf-46c5-a2c8-5f6e6bbb8aab,VOLTIJD,NLD,Nijmegen,,Pre-master Tweejarige Educatieve Master Maatschappijwetenschappen | Politicologie | Political Science | Two-year Educational Pre-Master's Society Studies,1
Biomedische Wetenschappen,Biomedische Wetenschappen,Biomedical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,56990,1001O6208,4002ec00-fd34-4ac6-9406-995382c34bb7,VOLTIJD,NLD,Nijmegen,,Biomedische Wetenschappen | Biomedical Sciences,1
Geneeskunde,Geneeskunde,Medicine,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,56551,1001O5910,9afc9f9f-e6b0-4d1c-acfa-96bb1b9aadc9,VOLTIJD,NLD,Nijmegen,,Geneeskunde | Medicine,1
Pre-master Biomedical Sciences,Biomedische Wetenschappen,Biomedical Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,56990,1001O6208,d9b4e263-50e5-4f39-bd95-8dbb2d26183a,VOLTIJD,NLD,Nijmegen,,Pre-master Biomedical Sciences | Biomedische Wetenschappen | Biomedical Sciences | Pre-Master's Biomedical Sciences,1
Pre-master Geneeskunde,Geneeskunde,Medicine,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,56551,1001O5910,60392ff8-aef8-47e8-ad7d-255517f2807d,VOLTIJD,NLD,Nijmegen,,Pre-master Geneeskunde | Geneeskunde | Medicine | Pre-Master's Medicine,1
Tandheelkunde,Tandheelkunde,Dentistry,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,56560,1001O5918,046b1fee-e4b6-49d4-8ec6-6c6c667eeca8,VOLTIJD,NLD,Nijmegen,,Tandheelkunde | Dentistry,1
Biologie,Biology,Biology,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59325,1001O6234,05ea9031-b36c-4e5c-95f9-99fbb803f137,VOLTIJD,ENG,Nijmegen,,Biologie | Biology,1
Informatica,Computing Science,Computing Science,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,59326,1001O6235,27fb5a14-b164-4f20-b5fe-f019854836c2,VOLTIJD,ENG,Nijmegen,,Informatica | Computing Science,1
Moleculaire Levenswetenschappen,Molecular Life Sciences,Molecular Life Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56944,1001O6127,87594c0c-75b5-4430-aa50-861c5eae7aec,VOLTIJD,ENG,Nijmegen,,Moleculaire Levenswetenschappen | Molecular Life Sciences,1
Natural Sciences,Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56948,1001O6132,ce0239ec-53f4-4d12-a220-c3aa4aae3eda,VOLTIJD,NLD,Nijmegen,,Natural Sciences,1
Natuur- en Sterrenkunde,Natuur- en Sterrenkunde,Physics and Astronomy,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56984,1001O6193,f5f8328c-13ac-4c9a-850d-ae5b11a8b81b,VOLTIJD,NLD,Nijmegen,,Natuur- en Sterrenkunde | Physics and Astronomy,1
"Pre-master 1 jarige lerarenopleiding RDA-FNWI Engelstalige vakken (Biology, MLS en Chemistry)",Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56948,1001O6132,d9a97c1c-3c70-4f9b-9883-9c49d211b11c,VOLTIJD,ENG,Nijmegen,,"Pre-master 1 jarige lerarenopleiding RDA-FNWI Engelstalige vakken (Biology, MLS en Chemistry) | Natural Sciences | Pre-Master's 1 year Teaching RDA-FNWI English-taught (Biology, MLS en Chemistry)",1
Pre-master 1 jarige lerarenopleiding RDA-FNWI Nederlandstalige vakken (Wiskunde en Natuurkunde),Natural Sciences,Natural Sciences,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,56948,1001O6132,64f2da44-6043-4665-987f-ede8f2e3f314,VOLTIJD,NLD,Nijmegen,,Pre-master 1 jarige lerarenopleiding RDA-FNWI Nederlandstalige vakken (Wiskunde en Natuurkunde) | Natural Sciences | Pre-Master's 1 year Teaching RDA-FNWI Dutch-taught (Mathematics and Physics),1
