programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
"B Media, Kunst, Design en Architectuur","Media, Kunst, Design en Architectuur","Media, Art, Design and Architecture",VU - Vrije Universiteit Amsterdam,OPLEIDING,55822,1001O5801,111A136,BACHELOR,180,Amsterdam,NLD,,1,"B Media, Art, Design and Architecture | B Media, Kunst, Design en Architectuur | Media, Art, Design and Architecture | Media, Kunst, Design en Architectuur",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Medische Natuurwetenschappen,Medische Natuurwetenschappen,Medical Natural Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,50800,1001O5745,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Medical Natural Sciences | B Medische Natuurwetenschappen | Medical Natural Sciences | Medische Natuurwetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Notarieel recht,Notarieel Recht,Notarial Law,VU - Vrije Universiteit Amsterdam,OPLEIDING,56828,1001O6070,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Notarieel recht | B in Notarial Law | Notarial Law | Notarieel Recht,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Oudheidwetenschappen,Oudheidwetenschappen,Ancient Studies,VU - Vrije Universiteit Amsterdam,OPLEIDING,56704,1001O5983,111A136,BACHELOR,180,Amsterdam,NLD,,1,Ancient Studies | B Ancient Studies | B Oudheidwetenschappen | Oudheidwetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Pedagogische wetenschappen,Pedagogische Wetenschappen,Pedagogical Sciences,VU - Vrije Universiteit Amsterdam,OPLEIDING,56607,1001O5948,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Education | B Pedagogische wetenschappen | Pedagogical Sciences | Pedagogische Wetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"B Philosophy, Politics and Economics","Philosophy, Politics and Economics","Philosophy, Politics and Economics",VU - Vrije Universiteit Amsterdam,OPLEIDING,54999,1001O5779,111A136,BACHELOR,180,Amsterdam,ENG,,1,"B Philosophy, Politics and Economics | Philosophy, Politics and Economics",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Political Science,Politicologie,Political Science,VU - Vrije Universiteit Amsterdam,OPLEIDING,56606,1001O5941,111A136,BACHELOR,180,Amsterdam,ENG | NLD,,2,B Political Science | B Politicologie | B Politicologie (Dutch taught) | Political Science | Politicologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Psychologie,Psychologie,Psychology,VU - Vrije Universiteit Amsterdam,OPLEIDING,56604,1001O5935,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Psychologie | B Psychology | Psychologie | Psychology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Rechtsgeleerdheid,Rechtsgeleerdheid,Law,VU - Vrije Universiteit Amsterdam,OPLEIDING,50700,1001O5730,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Rechtsgeleerdheid | B in Law | Law | Rechtsgeleerdheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"B Science, Business & Innovation","Science, Business & Innovation","Science, Business & Innovation",VU - Vrije Universiteit Amsterdam,OPLEIDING,50670,1001O5723,111A136,BACHELOR,180,Amsterdam,NLD,,1,"B Science, Business & Innovation | Science, Business & Innovation",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Sociologie,Sociologie,Sociology,VU - Vrije Universiteit Amsterdam,OPLEIDING,56601,1001O5925,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Sociologie | B Sociology | Sociologie | Sociology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
B Tandheelkunde,Tandheelkunde,Dentistry,VU - Vrije Universiteit Amsterdam,OPLEIDING,56560,1001O5917,111A136,BACHELOR,180,Amsterdam,NLD,,1,B Dentistry | B Tandheelkunde | Dentistry | Tandheelkunde,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Agrotechnologie,Agrotechnologie,Biosystems Engineering,Wageningen University,OPLEIDING,56831,1001O6075,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bat,1,Agrotechnologie | Bachelor Agrotechnologie | Biosystems Engineering,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Bedrijfs- en Consumentenwetenschappen,Bedrijfs- en Consumentenwetenschappen,Business and Consumer Studies,Wageningen University,OPLEIDING,56836,1001O6086,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bbc,1,Bachelor Bedrijfs- en Consumentenwetenschappen | Bedrijfs- en Consumentenwetenschappen | Business and Consumer Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Biologie,Biologie,Biology,Wageningen University,OPLEIDING,56860,1001O6120,114A640,BACHELOR,180,Wageningen,NLD,biologyportal.wur.nl,1,Bachelor Biologie | Biologie | Biology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Biotechnologie,Biotechnologie,Biotechnology,Wageningen University,OPLEIDING,56841,1001O6094,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bbt,1,Bachelor Biotechnologie | Biotechnologie | Biotechnology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Communicatie en Life Sciences,Communicatie en Life Sciences,Communication and Life Sciences,Wageningen University,OPLEIDING,50016,1001O5637,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bcl,1,Bachelor Communicatie en Life Sciences | Communicatie en Life Sciences | Communication and Life Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Economie en Beleid,Economie en Beleid,Economics and Governance,Wageningen University,OPLEIDING,50101,1001O5657,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/beb,1,Bachelor Economie en Beleid | Economics and Governance | Economie en Beleid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Gezondheid en Maatschappij,Gezondheid en Maatschappij,Health and Society,Wageningen University,OPLEIDING,50018,1001O5641,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bgm,1,Bachelor Gezondheid en Maatschappij | Gezondheid en Maatschappij | Health and Society,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor International Land and Water Management,International Land and Water Management,International Land and Water Management,Wageningen University,OPLEIDING,50100,1001O5656,114A640,BACHELOR,180,Wageningen,ENG,http://www.wur.nl/bil,1,Bachelor International Land and Water Management | International Land and Water Management,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Internationale Ontwikkelingsstudies,Internationale Ontwikkelingsstudies,International Development Studies,Wageningen University,OPLEIDING,56837,1001O6087,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bin,1,Bachelor Internationale Ontwikkelingsstudies | International Development Studies | Internationale Ontwikkelingsstudies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Landschapsarchitectuur& Ruimtelijke Planning,Landschapsarchitectuur en ruimtelijke planning,Landscape Architecture and Planning,Wageningen University,OPLEIDING,56848,1001O6102,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/blp,1,Bachelor Landschapsarchitectuur& Ruimtelijke Planning | Landscape Architecture and Planning | Landschapsarchitectuur en ruimtelijke planning,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Marine Sciences,Marine Sciences,Marine Sciences,Wageningen University,OPLEIDING,50859,1001O8838,114A640,BACHELOR,180,Wageningen,ENG,,1,Bachelor Marine Sciences | Marine Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Moleculaire Levenswetenschappen,Moleculaire Levenswetenschappen,Molecular Life Sciences,Wageningen University,OPLEIDING,59304,1001O6222,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bml,1,Bachelor Moleculaire Levenswetenschappen | Moleculaire Levenswetenschappen | Molecular Life Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Plantenwetenschappen,Plantenwetenschappen,Plant Sciences,Wageningen University,OPLEIDING,56835,1001O6085,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bpw,1,Bachelor Plantenwetenschappen | Plant Sciences | Plantenwetenschappen,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Animal Sciences,Animal Sciences,Animal Sciences,Wageningen University,OPLEIDING,56849,1001O6103,114A640,BACHELOR,180,Wageningen,ENG,http://www.wur.nl/bdw,1,Animal Sciences | Bachelor's Animal Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Data Science for Global Challenges,Data Science for Global Challenges,Data Science for Global Challenges,Wageningen University,OPLEIDING,59026,1016O1728,114A640,BACHELOR,180,Wageningen,NLD,,1,Bachelor's Data Science for Global Challenges | Data Science for Global Challenges,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Earth System Sciences,"Soil, Water, Atmosphere","Soil, Water, Atmosphere",Wageningen University,OPLEIDING,56968,1001O6167,114A640,BACHELOR,180,Wageningen,ENG,http://www.wur.nl/bbw,1,"Bachelor's Earth System Sciences | Soil, Water, Atmosphere",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Environmental Sciences,Environmental Sciences,Environmental Sciences,Wageningen University,OPLEIDING,56283,1001O5876,114A640,BACHELOR,180,Wageningen,ENG,http://www.wur.nl/bmw,1,Bachelor's Environmental Sciences | Environmental Sciences,pilot-02,1.000,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Food Technology,Food Technology,Food Technology,Wageningen University,OPLEIDING,56973,1001O6168,114A640,BACHELOR,180,Wageningen,ENG,http://www.wur.nl/blt,1,Bachelor's Food Technology | Food Technology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor's Tourism (joint degree),Tourism (joint degree),Tourism (joint degree),Wageningen University,OPLEIDING,55001,1001O5780,114A640,BACHELOR,180,Breda,NLD,http://www.wur.nl/bto,1,Bachelor's Tourism (joint degree) | Tourism (joint degree),,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bachelor Voeding en Gezondheid,Voeding en Gezondheid,Nutrition and Health,Wageningen University,OPLEIDING,56868,1001O6124,114A640,BACHELOR,180,Wageningen,NLD,http://www.wur.nl/bvg,1,Bachelor Voeding en Gezondheid | Nutrition and Health | Voeding en Gezondheid,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
