source_excel_row,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,NAAM_LANG,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,EINDDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,LAATSTE_INSTROOMDATUM,flag_codes_json,needs_resolution,resolution_case_ids_json
70,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A123,Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid,VARIANT,1016O6834 | 1016O6835,,50700,Rechtsgeleerdheid,Rechtsgeleerdheid,VOLTIJD | DEELTIJD,NLD,180,,,,"[""missing_website"",""multi_offering_identity_sensitive"",""multiple_modes"",""multiple_offerings"",""multiple_programme_units"",""provider_differs_from_board"",""variant_record""]",true,"[""rc-0008""]"
71,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,VARIANT,1016O6659 | 1016O6837,,50902,"Religie, Politiek en Samenleving","Religie, Politiek en Samenleving",VOLTIJD | DEELTIJD,NLD,180,,,,"[""missing_website"",""multi_offering_identity_sensitive"",""multiple_modes"",""multiple_offerings"",""multiple_programme_units"",""provider_differs_from_board"",""variant_record""]",true,"[""rc-0009""]"
72,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1016O0146,,56823,"Samenleving, Taal en Cultuur","Samenleving, Taal en Cultuur",VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
73,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6126,56943,,Chemistry,Scheikunde,VOLTIJD,ENG,180,,,,"[""canonical_name_alias_present"",""missing_website"",""provider_differs_from_board""]",false,[]
74,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,OPLEIDING,1001O5926,56601,,Sociologie,Sociologie,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
75,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,VARIANT,1015O6483,,56074,Spaanse Taal en Cultuur,Spaanse Taal en Cultuur,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board"",""variant_record""]",false,[]
76,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A124,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,1001O5997,56803,,Taalwetenschap,Taalwetenschap,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
77,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A126,Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen,OPLEIDING,1001O5918,56560,,Tandheelkunde,Tandheelkunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
78,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A122,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,VARIANT,1016O6838 | 1016O6839,,56109,Theologie,Theologie,VOLTIJD | DEELTIJD,NLD,180,,,,"[""missing_website"",""multi_offering_identity_sensitive"",""multiple_modes"",""multiple_offerings"",""multiple_programme_units"",""provider_differs_from_board"",""variant_record""]",true,"[""rc-0010""]"
79,107B484,Het College van Bestuur van de Radboud Universiteit Nijmegen,114A127,Radboud Universiteit Nijmegen (RU) Faculteit der NWI,OPLEIDING,1001O6181,56980,,Wiskunde,Wiskunde,VOLTIJD,NLD,180,,,,"[""missing_website"",""provider_differs_from_board""]",false,[]
80,107B482,Het College van Bestuur van de Vrije Universiteit,111A136,VU - Vrije Universiteit Amsterdam,OPLEIDING,1001O5722,50668,,"Aarde, Economie en Duurzaamheid","B Aarde, Economie en Duurzaamheid",VOLTIJD,NLD,180,,,,"[""canonical_name_alias_present"",""missing_website"",""provider_differs_from_board""]",false,[]
